slug,title,section,order,track,intent,level,priority,vizModule,prereq1,prereq2,next,mistake,published,hookQuestion,oneLineAnswer,takeaway1,takeaway2,takeaway3,check1,check2
function-graph-reading,グラフ読解の基礎（増減と傾き）,basics,5,regular,concept,基礎,S,,limits-intro,integral-definition-meaning,secant-to-tangent,common-calculus-mistakes,2026-03-02,"グラフ読解の基礎（増減と傾き）で、最初にどこを見れば迷わず進めるか？","変化の向きを先に見て、グラフ読解の基礎（増減と傾き）の意味を式とグラフで一致させる。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","グラフ読解の基礎（増減と傾き）の要点を30秒で口頭説明できるか。","グラフ読解の基礎（増減と傾き）の同型問題で同じ手順を再現できるか。"
limits-intro,極限の入口（近づくとは何か）,basics,8,regular,definition,基礎,S,,function-graph-reading,integral-definition-meaning,secant-to-tangent,common-calculus-mistakes,2026-03-02,"極限の入口（近づくとは何か）で、最初にどこを見れば迷わず進めるか？","定義を図と式で往復し、極限の入口（近づくとは何か）を自分の言葉で説明できる状態を目指す。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","極限の入口（近づくとは何か）の要点を30秒で口頭説明できるか。","極限の入口（近づくとは何か）の同型問題で同じ手順を再現できるか。"
secant-to-tangent,割線→接線（微分係数の定義）,differentiation,10,regular,definition,基礎,S,secant-tangent,limits-intro,function-graph-reading,tangent-line-equation,common-calculus-mistakes,2026-03-02,"割線→接線（微分係数の定義）で、最初にどこを見れば迷わず進めるか？","定義を図と式で往復し、割線→接線（微分係数の定義）を自分の言葉で説明できる状態を目指す。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","割線→接線（微分係数の定義）の要点を30秒で口頭説明できるか。","割線→接線（微分係数の定義）の同型問題で同じ手順を再現できるか。"
tangent-line-equation,接線の方程式の求め方,differentiation,12,regular,procedure,基礎,S,tangent-line,secant-to-tangent,limits-intro,derivative-sign-chart,common-calculus-mistakes,2026-03-02,"接線の方程式の求め方で、最初にどこを見れば迷わず進めるか？","接線の方程式の求め方の手順を固定し、条件を見たら次の一手を再現できる状態を作る。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","接線の方程式の求め方の要点を30秒で口頭説明できるか。","接線の方程式の求め方の同型問題で同じ手順を再現できるか。"
derivative-sign-chart,増減表の作り方（導関数の符号）,differentiation,14,regular,procedure,標準,S,derivative-sign,secant-to-tangent,tangent-line-equation,derivative-rules-overview,common-calculus-mistakes,2026-03-02,"増減表の作り方（導関数の符号）で、最初にどこを見れば迷わず進めるか？","増減表の作り方（導関数の符号）の手順を固定し、条件を見たら次の一手を再現できる状態を作る。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","増減表の作り方（導関数の符号）の要点を30秒で口頭説明できるか。","増減表の作り方（導関数の符号）の同型問題で同じ手順を再現できるか。"
derivative-rules-overview,微分公式の見取り図（和・積・合成）,differentiation,16,regular,procedure,標準,A,chain-rule-flow,derivative-sign-chart,tangent-line-equation,local-max-min-judge,common-calculus-mistakes,2026-03-02,"微分公式の見取り図（和・積・合成）で、最初にどこを見れば迷わず進めるか？","微分公式の見取り図（和・積・合成）の手順を固定し、条件を見たら次の一手を再現できる状態を作る。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","微分公式の見取り図（和・積・合成）の要点を30秒で口頭説明できるか。","微分公式の見取り図（和・積・合成）の同型問題で同じ手順を再現できるか。"
local-max-min-judge,極大・極小の判定を最短で理解,differentiation,18,exam,exam,標準,S,,derivative-rules-overview,derivative-sign-chart,cubic-shape-from-extrema,common-calculus-mistakes,2026-03-02,"極大・極小の判定を最短で理解で、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、極大・極小の判定を最短で理解を共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","極大・極小の判定を最短で理解の要点を30秒で口頭説明できるか。","極大・極小の判定を最短で理解の同型問題で同じ手順を再現できるか。"
cubic-shape-from-extrema,3次関数の概形を極値条件から絞る,differentiation,20,exam,exam,発展,A,,local-max-min-judge,derivative-rules-overview,second-derivative-concavity,common-calculus-mistakes,2026-03-02,"3次関数の概形を極値条件から絞るで、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、3次関数の概形を極値条件から絞るを共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","3次関数の概形を極値条件から絞るの要点を30秒で口頭説明できるか。","3次関数の概形を極値条件から絞るの同型問題で同じ手順を再現できるか。"
second-derivative-concavity,2次導関数と凹凸の読み方,differentiation,22,exam,exam,発展,B,,cubic-shape-from-extrema,local-max-min-judge,review-10min-differential,common-calculus-mistakes,2026-03-02,"2次導関数と凹凸の読み方で、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、2次導関数と凹凸の読み方を共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","2次導関数と凹凸の読み方の要点を30秒で口頭説明できるか。","2次導関数と凹凸の読み方の同型問題で同じ手順を再現できるか。"
review-10min-differential,10分で復習する微分の5パターン,differentiation,24,regular,review,基礎,A,,derivative-rules-overview,second-derivative-concavity,integral-definition-meaning,common-calculus-mistakes,2026-03-02,"10分で復習する微分の5パターンで、最初にどこを見れば迷わず進めるか？","要点を10分で再接続し、10分で復習する微分の5パターンを短時間で思い出せるようにする。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","10分で復習する微分の5パターンの要点を30秒で口頭説明できるか。","10分で復習する微分の5パターンの同型問題で同じ手順を再現できるか。"
integral-definition-meaning,積分とは何か（面積と累積）,integration,26,regular,definition,基礎,S,,limits-intro,function-graph-reading,riemann-sum-area,common-calculus-mistakes,2026-03-02,"積分とは何か（面積と累積）で、最初にどこを見れば迷わず進めるか？","定義を図と式で往復し、積分とは何か（面積と累積）を自分の言葉で説明できる状態を目指す。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","積分とは何か（面積と累積）の要点を30秒で口頭説明できるか。","積分とは何か（面積と累積）の同型問題で同じ手順を再現できるか。"
riemann-sum-area,リーマン和→面積（定積分の意味）,integration,28,regular,definition,基礎,S,riemann-sum,integral-definition-meaning,limits-intro,definite-integral-how-to,common-calculus-mistakes,2026-03-02,"リーマン和→面積（定積分の意味）で、最初にどこを見れば迷わず進めるか？","定義を図と式で往復し、リーマン和→面積（定積分の意味）を自分の言葉で説明できる状態を目指す。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","リーマン和→面積（定積分の意味）の要点を30秒で口頭説明できるか。","リーマン和→面積（定積分の意味）の同型問題で同じ手順を再現できるか。"
definite-integral-how-to,定積分の計算手順を固定する,integration,30,regular,procedure,基礎,S,,riemann-sum-area,integral-definition-meaning,integral-formula-pattern,common-calculus-mistakes,2026-03-02,"定積分の計算手順を固定するで、最初にどこを見れば迷わず進めるか？","定積分の計算手順を固定するの手順を固定し、条件を見たら次の一手を再現できる状態を作る。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","定積分の計算手順を固定するの要点を30秒で口頭説明できるか。","定積分の計算手順を固定するの同型問題で同じ手順を再現できるか。"
integral-formula-pattern,積分公式をパターンで使い分ける,integration,32,regular,procedure,標準,A,,definite-integral-how-to,integral-definition-meaning,indefinite-integral-constant,common-calculus-mistakes,2026-03-02,"積分公式をパターンで使い分けるで、最初にどこを見れば迷わず進めるか？","積分公式をパターンで使い分けるの手順を固定し、条件を見たら次の一手を再現できる状態を作る。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","積分公式をパターンで使い分けるの要点を30秒で口頭説明できるか。","積分公式をパターンで使い分けるの同型問題で同じ手順を再現できるか。"
indefinite-integral-constant,積分定数Cの意味と使いどころ,integration,34,regular,mistake,標準,S,,integral-formula-pattern,definite-integral-how-to,definite-integral-properties,common-calculus-mistakes,2026-03-02,"積分定数Cの意味と使いどころで、最初にどこを見れば迷わず進めるか？","誤答パターンを先に潰し、積分定数Cの意味と使いどころで失点しない確認手順を身につける。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","積分定数Cの意味と使いどころの要点を30秒で口頭説明できるか。","積分定数Cの意味と使いどころの同型問題で同じ手順を再現できるか。"
definite-integral-properties,定積分の性質（線形性と区間分割）,integration,36,regular,procedure,標準,A,,indefinite-integral-constant,riemann-sum-area,signed-area-vs-absolute,common-calculus-mistakes,2026-03-02,"定積分の性質（線形性と区間分割）で、最初にどこを見れば迷わず進めるか？","定積分の性質（線形性と区間分割）の手順を固定し、条件を見たら次の一手を再現できる状態を作る。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","定積分の性質（線形性と区間分割）の要点を30秒で口頭説明できるか。","定積分の性質（線形性と区間分割）の同型問題で同じ手順を再現できるか。"
signed-area-vs-absolute,符号付き面積と絶対値面積の違い,integration,38,exam,mistake,標準,S,signed-area,definite-integral-properties,definite-integral-how-to,area-between-two-curves,common-calculus-mistakes,2026-03-02,"符号付き面積と絶対値面積の違いで、最初にどこを見れば迷わず進めるか？","誤答パターンを先に潰し、符号付き面積と絶対値面積の違いで失点しない確認手順を身につける。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","符号付き面積と絶対値面積の違いの要点を30秒で口頭説明できるか。","符号付き面積と絶対値面積の違いの同型問題で同じ手順を再現できるか。"
area-between-two-curves,2曲線で囲まれた面積（上-下）,integration,40,exam,exam,標準,S,area-between-curves,signed-area-vs-absolute,definite-integral-properties,absolute-area-piecewise,common-calculus-mistakes,2026-03-02,"2曲線で囲まれた面積（上-下）で、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、2曲線で囲まれた面積（上-下）を共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","2曲線で囲まれた面積（上-下）の要点を30秒で口頭説明できるか。","2曲線で囲まれた面積（上-下）の同型問題で同じ手順を再現できるか。"
absolute-area-piecewise,絶対値を含む面積の解法,integration,42,exam,mistake,発展,A,,area-between-two-curves,signed-area-vs-absolute,substitution-integral-intuition,common-calculus-mistakes,2026-03-02,"絶対値を含む面積の解法で、最初にどこを見れば迷わず進めるか？","誤答パターンを先に潰し、絶対値を含む面積の解法で失点しない確認手順を身につける。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","絶対値を含む面積の解法の要点を30秒で口頭説明できるか。","絶対値を含む面積の解法の同型問題で同じ手順を再現できるか。"
substitution-integral-intuition,置換積分の直感（変数変換）,integration,44,exam,exam,発展,B,substitution-map,absolute-area-piecewise,integral-formula-pattern,integration-by-parts-intuition,common-calculus-mistakes,2026-03-02,"置換積分の直感（変数変換）で、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、置換積分の直感（変数変換）を共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","置換積分の直感（変数変換）の要点を30秒で口頭説明できるか。","置換積分の直感（変数変換）の同型問題で同じ手順を再現できるか。"
integration-by-parts-intuition,部分積分の直感（積の逆算）,integration,46,exam,exam,発展,B,,substitution-integral-intuition,integral-formula-pattern,review-10min-integral,common-calculus-mistakes,2026-03-02,"部分積分の直感（積の逆算）で、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、部分積分の直感（積の逆算）を共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","部分積分の直感（積の逆算）の要点を30秒で口頭説明できるか。","部分積分の直感（積の逆算）の同型問題で同じ手順を再現できるか。"
review-10min-integral,10分で復習する積分の5パターン,integration,48,regular,review,基礎,A,,definite-integral-properties,integration-by-parts-intuition,ftc-basic,common-calculus-mistakes,2026-03-02,"10分で復習する積分の5パターンで、最初にどこを見れば迷わず進めるか？","要点を10分で再接続し、10分で復習する積分の5パターンを短時間で思い出せるようにする。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","10分で復習する積分の5パターンの要点を30秒で口頭説明できるか。","10分で復習する積分の5パターンの同型問題で同じ手順を再現できるか。"
ftc-basic,微積の基本定理の入口,fundamental,50,regular,definition,標準,S,,review-10min-integral,derivative-rules-overview,ftc-area-function,common-calculus-mistakes,2026-03-02,"微積の基本定理の入口で、最初にどこを見れば迷わず進めるか？","定義を図と式で往復し、微積の基本定理の入口を自分の言葉で説明できる状態を目指す。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","微積の基本定理の入口の要点を30秒で口頭説明できるか。","微積の基本定理の入口の同型問題で同じ手順を再現できるか。"
ftc-area-function,面積関数A(x)とA'(x)=f(x),fundamental,52,exam,exam,発展,S,area-function-ftc,ftc-basic,riemann-sum-area,integral-function-derivative,common-calculus-mistakes,2026-03-02,"面積関数A(x)とA'(x)=f(x)で、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、面積関数A(x)とA'(x)=f(x)を共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","面積関数A(x)とA'(x)=f(x)の要点を30秒で口頭説明できるか。","面積関数A(x)とA'(x)=f(x)の同型問題で同じ手順を再現できるか。"
integral-function-derivative,定積分で表された関数の微分,fundamental,54,exam,exam,発展,S,integral-function-derivative,ftc-area-function,ftc-basic,variable-bound-derivative-sign,common-calculus-mistakes,2026-03-02,"定積分で表された関数の微分で、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、定積分で表された関数の微分を共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","定積分で表された関数の微分の要点を30秒で口頭説明できるか。","定積分で表された関数の微分の同型問題で同じ手順を再現できるか。"
variable-bound-derivative-sign,上下端が変数のときの符号整理,fundamental,56,exam,mistake,発展,A,,integral-function-derivative,ftc-area-function,average-value-integral,common-calculus-mistakes,2026-03-02,"上下端が変数のときの符号整理で、最初にどこを見れば迷わず進めるか？","誤答パターンを先に潰し、上下端が変数のときの符号整理で失点しない確認手順を身につける。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","上下端が変数のときの符号整理の要点を30秒で口頭説明できるか。","上下端が変数のときの符号整理の同型問題で同じ手順を再現できるか。"
average-value-integral,積分で求める関数の平均値,fundamental,58,exam,exam,発展,B,,variable-bound-derivative-sign,definite-integral-properties,area-function-mean-value,common-calculus-mistakes,2026-03-02,"積分で求める関数の平均値で、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、積分で求める関数の平均値を共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","積分で求める関数の平均値の要点を30秒で口頭説明できるか。","積分で求める関数の平均値の同型問題で同じ手順を再現できるか。"
area-function-mean-value,面積関数で読み解く平均値問題,fundamental,60,exam,exam,発展,B,,average-value-integral,integral-function-derivative,exam-microcalculus-reading-strategy,common-calculus-mistakes,2026-03-02,"面積関数で読み解く平均値問題で、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、面積関数で読み解く平均値問題を共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","面積関数で読み解く平均値問題の要点を30秒で口頭説明できるか。","面積関数で読み解く平均値問題の同型問題で同じ手順を再現できるか。"
exam-microcalculus-reading-strategy,共通テスト微積 誘導文の読み方,fundamental,62,exam,exam,発展,A,,area-function-mean-value,cubic-shape-from-extrema,common-calculus-mistakes,review-10min-integral,2026-03-02,"共通テスト微積 誘導文の読み方で、最初にどこを見れば迷わず進めるか？","誘導文の条件から必要量を選び、共通テスト微積 誘導文の読み方を共テ形式で判断できるようにする。","条件を言葉にし、変化する量と固定する量を分ける","誘導文のゴールを先に確認し、必要式だけを選ぶ","最後に符号・区間・単位を30秒で点検する","共通テスト微積 誘導文の読み方の要点を30秒で口頭説明できるか。","共通テスト微積 誘導文の読み方の同型問題で同じ手順を再現できるか。"
common-calculus-mistakes,微積でよくあるミス集（高校生向け）,mistakes,64,regular,mistake,基礎,S,,secant-to-tangent,signed-area-vs-absolute,limits-intro,function-graph-reading,2026-03-02,"微積でよくあるミス集（高校生向け）で、最初にどこを見れば迷わず進めるか？","誤答パターンを先に潰し、微積でよくあるミス集（高校生向け）で失点しない確認手順を身につける。","条件を言葉にし、変化する量と固定する量を分ける","式変形の前にグラフで符号と範囲を確認する","最後に符号・区間・単位を30秒で点検する","微積でよくあるミス集（高校生向け）の要点を30秒で口頭説明できるか。","微積でよくあるミス集（高校生向け）の同型問題で同じ手順を再現できるか。"
